rank,holder_address,holders_count
1,0x00c70e8b3c9d0e0adb85993382abaae2a11c5d96,10125.384853298890318963
2,0xf2d8073c3d9fecf2b08127e6c6ad6f11bd855c0c,7358.170268304014558262
3,0xd11684e2ea44128c26877376cb75b9c36e8381dd,6495.193882921915278885
4,0xebca2f0306c62cbe7da2808dacc147ec447936af,3231.779484161255357632
5,0x0211f3cedbef3143223d3acf0e589747933e8527 (MXC 2),633.689624673236126497
6,0x223b297a2a32159dd3ce08a8a80bac5f1407d86c,610.772199999876792857
7,0x48795465188226545133035ec6ffaed037e3983b,462.851781106084308471
8,0x34941902a7a325f7b941ae070cb9a82bce85093d,122.639180740974246942
9,0xac54d41b530f8c616866b810e91c7c4ce658686c,114.607843252704480718
10,0xe3fb094eabb5f949b7dc571b89c28ca39314fb1f,104.638957108459359831
11,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88 (MXC),99.517378499379877033
12,0x7a6714015fcc9db1f9e5688759bccc0f16acbc48,84.124039731159524981
13,0x2b4d1525cfeb20075d9120ecc6ba438c449986d6,80.489253708004656521
14,0xf7c0bab010b88a2db8a99fcb6385ced1498ad1c0,73.868990009967642591
15,0x2c6eec55f9932112d7d2ce879d3380240f752d1d,70.002364975569208617
16,0xd4a2c1d1ede98f8c159b0256fae0f912766b452a,58.135579444291332868
17,0xe0ac1b239b900e0d5690b39e221053ccdc9a8e5e,53.90418922420695222
18,0xd1578a3b12933408d4f0b2b55e7bb2d63a034fbf,53.708735690313909132
19,0x6ecdf418a75838df22f8ba62f648104be9ec4e9b,50.708676341291030331
20,0x85b8800fefe613722f7deca76c07a9b8f10b0e19,48.820989581008697435
21,0x764191ea47df0a3c9622bb1e483058626c50a5aa,46.769774336804496668
22,0x3e421915e3016ceb01fd7088d2ce65cd8ac5d2d7,45.15
23,0xc67333631af977574584b96a245c90fd12269d3e,45
24,0x382ecb1c217cd0e92b5c4efd6626854e055ce50d,43.738989880585266208
25,0x8216e36fc4b7282f49f6a09b3282b9011b4a4ddd,43.322172077834572711
26,0xa83f9d1fce3bac226c778763b739ef875179b8d1,39.99673618246688204
27,0xe11804b14d0bfe03e210b5839a805788967b48e0,30
28,0x1002407835e5d2b44232f5c6c7d46a403c2171c5,29.616156773918348516
29,0xc2dd80eb912fdbe56f87d25a47f585c65d536998,29.285127365629361787
30,0x89cc74e3eed4944d44747b03a582e2a362f73a28,28.629349867527892394
31,0xbfd7d5c78da26801ad4487521f49c7cd2636941b,27.495035081313304614
32,0xf3cb5133b04b424aa8cb8c28029f598b40ac0843,25.034354742247246612
33,0x8e8f01598c2442e4cb180e27a9bff70fcdb27dea,23.179611920284227619
34,0xe854f8b14262f64e10dab03f9ba5fc37c8eb2a72,22.732531291907254429
35,0x82996317f34048b96c3046938af03e57d3660613,22.464338521916196827
36,0xe926aae37e41a832078a040e3387a3a08f347925,21.292651228346454563
37,0x7aebf6749adc8394cf383b3e15439d5e9ac19e0c,20.439740476785017958
38,0x30f967e86c851cd83ab84537f87af65b6937e70a,20.420260275491084109
39,0x62d1de1f9109197f1399420c867625320fcc21df,18.510432679936663426
40,0xe9f30237c27c881c688cde5131020713a8eba6ee,18.469102597109556906
41,0xab9c2da8a91cfde71e7ccf2cd4764636081108ac,16.498098406347207132
42,0x66eb0ee42cf74e0d5568c7e0c0dd56a20b8d71a5,15.87854101642247166
43,0x0118206d9c87f294d37beb10a5154312861be1be,15.489780781167269598
44,0xfde652c61f816db0b991f089278d9d961742ddf8,15.166220791844159644
45,0x447fa3b4673d32a4425949e32e463039de71b953,14.713718025244544709
46,0xe3db9ea2a010b1e0e98095d9da1aaee44394f8a0,14.578812581767508167
47,0xff9e45e3efc35b29a28fbee3cc70183d2eec36cf,14.530478498993242178
48,0x0755b8e7442d1d5124f182f44c8284b60da10964,14.491055289204057924
49,0xb8a077d29f705592dbac280a5022ccdac46ef8cb,14.31991994865632813
50,0x3610e8bf396716002a54982ddd7edf626659389c,14.007161651230550783
